S	SRR8069701	SRR8069702	SRR8069703	SRR8069704	SRR8069705	SRR8069706	SRR8069707	SRR8069708	SRR8069709	SRR8069710	SRR8069711	SRR8069712	SRR8069713	SRR8069714	SRR8069715	SRR8069716	SRR8069717_kraken_paired_report.txt	SRR8069718	SRR8069719	SRR8069720	SRR8069721	SRR8069722	SRR8069723	SRR8069724	SRR8069725	SRR8069726	SRR8069727	SRR8069728	SRR8069729	SRR8069730	SRR8069731	SRR8069732	SRR8069733	SRR8069734	SRR8069735	SRR8069736	SRR8069737	SRR8069738	SRR8069739	SRR8069740	SRR8069741	SRR8069742	SRR8069743	SRR8069744_kraken_paired_report.txt	SRR8069745	SRR8069746	SRR8069747	SRR8069748	SRR8069749	SRR8069750	SRR8069751	SRR8069752	SRR8069753	SRR8069754	SRR8069755	SRR8069756	SRR8069757	SRR8069758	SRR8069759	SRR8069760	SRR8069761	SRR8069762	SRR8069763_kraken_paired_report.txt	SRR8069764	SRR8069765	SRR8069766	SRR8069767	SRR8069768	SRR8069769_kraken_paired_report.txt	SRR8069770	SRR8069771	SRR8069772	SRR8069773	SRR8069774	SRR8069775	SRR8069776	SRR8069777	SRR8069778	SRR8069779	SRR8069780	SRR8069781	SRR8069782
Mycolicibacterium iranicum	15	0	0	0	0	16	0	0	0	0	12	0	0	0	0	0	0	0	60	0	115	0	0	0	0	16	0	0	0	0	0	0	34	13	0	12	0	0	10	18	0	0	0	12	10	0	0	26	0	0	0	0	19	0	22	0	12	0	24	0	0	0	0	0	0	0	0	43	0	0	18	0	0	0	0	0	25	0	12	32	0	0
Mycolicibacterium vanbaalenii	15	0	0	0	0	16	0	0	0	0	31	20	0	0	0	0	0	0	43	0	219	36	0	0	0	0	0	0	0	0	0	0	0	14	0	21	11	0	0	13	0	0	25	29	0	0	0	57	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	20	0	0	0	0	0	14	0	19	50	20	22
Mycolicibacterium arabiense	12	0	0	0	0	0	0	0	48	0	56	15	0	0	0	0	0	0	26	0	40	0	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
Mycolicibacterium duvalii	11	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	20	13	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	13	26	16	0
Mycolicibacterium hassiacum	10	0	0	0	0	10	0	0	0	0	12	22	0	0	0	0	0	0	32	0	31	0	0	0	0	0	0	0	0	0	0	0	10	0	0	15	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	18	0	0	0	12	0	27	15	15	0
Mycolicibacterium rutilum	10	0	0	0	0	0	0	0	24	0	40	0	0	0	0	0	0	0	21	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	37	0	21	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	12	26	18	0
Mycolicibacter sp. MYC340	304	14	161	14	23	214	108	0	63	0	344	145	23	18	223	0	0	0	2474	102	960	68	43	0	32	74	25	0	0	24	0	30	420	276	0	596	234	87	34	128	65	0	172	30	137	30	0	354	80	88	156	93	40	58	315	211	290	60	100	0	15	64	0	231	15	17	51	480	0	120	435	12	498	142	0	0	936	13	644	813	414	47
Mycolicibacter sp. MYC123	20	0	0	0	0	0	0	0	0	0	22	0	0	0	16	0	0	0	369	12	89	0	0	0	0	0	0	0	0	0	0	0	34	10	0	29	0	0	0	0	0	0	0	0	0	0	0	17	0	0	14	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	32	0	0	80	0	31	22	0	0	128	0	65	58	25	0
Mycobacteroides abscessus	49	0	259	0	0	73	37	0	404	0	561	77	15	0	48	46	0	0	454	36	2491	21	26	0	32	0	33	0	19	0	0	19	523	123	122	326	51	0	23	44	32	0	184	98	146	0	0	113	67	117	38	19	16	35	34	28	645	27	232	0	0	32	0	130	0	86	18	237	29	217	131	0	172	223	0	31	213	0	75	243	295	33
Mycobacteroides franklinii	15	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	25	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	14	0	0	12	0	12
Mycobacteroides salmoniphilum	11	0	0	0	0	0	0	0	0	0	19	16	0	0	0	0	0	0	32	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	10	0	0	276	0	0	0	0	0	0	0	54	0	0	0	0	0	17	0	16	0	0	16	0	0	13	0	15	0	0	0	68	0	10	0	0	0	0	0	0	50	0	15	40	32	20
Mycobacteroides immunogenum	10	0	0	0	0	0	0	0	0	0	60	11	0	0	0	0	0	0	32	0	45	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	15	0	0	0	0	0	31	0	0
Corynebacterium pseudotuberculosis	518	0	0	0	0	10	0	0	397	0	463	0	15	0	0	33	0	0	42	12	16	187	82	0	0	0	0	0	12	0	0	0	0	10	67	14	0	349	773	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	598	0	126	0	0	19	0	26	0	38	34	233	55	0	298	71	13	0	0	0	13	0	125	529	51	0
Corynebacterium sp. Marseille-P3884	33	0	0	0	0	15	0	0	73	0	160	0	0	0	16	0	0	0	0	0	25	11	0	222	0	57	0	0	0	39	0	11	0	0	17	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	121	0	36	0	0	0	0	0	0	0	0	73	0	0	0	0	10	0	0	0	0	0	14	87	0	0
Corynebacterium sp. HMSC069E04	240	0	0	0	0	0	0	0	0	0	659	0	0	446	0	0	0	0	0	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	537	0	0	0	120	0	0	0	0	0	0	2403	159	0	0	0	163	0	0	0	0	243	0	0	85	0	0	243	224	126	0	0	904	0	0	0	357	0	0	0	0	0	241	0	0	0
Corynebacterium sp. MC3	60	0	0	0	0	227	0	0	171	0	166	50	0	0	0	0	0	0	339	0	129	0	0	0	0	282	0	149	0	0	0	0	121	75	192	85	0	0	0	0	0	0	4704	0	0	0	0	339	0	0	0	0	0	0	58	0	244	426	45	0	0	0	0	157	0	0	0	266	0	0	49	0	145	13	0	0	162	0	155	379	25	0
Corynebacterium sp. HMSC05H05	41	0	0	0	0	0	0	0	0	0	158	82	0	0	0	0	0	0	0	0	40	0	0	0	0	45	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	37	113	0	0	0	0	0	0	0	0	0	92	0	0	0	0	113	0	0	0	0	0	0	1044	0	0
Corynebacterium diphtheriae	694	63	160	65	164	181	175	0	642	0	966	113	161	53	156	79	0	0	3476	85	2386	1115	312	100	252	107	23	66	25	48	0	39	265	218	134	3321	263	91	218	124	340	0	161	110	91	132	18	415	29	205	124	146	115	63	659	180	895	101	279	0	82	97	0	786	647	98	676	401	35	86	574	67	1432	57	88	123	2400	155	502	711	643	77
Corynebacterium tuberculostearicum	273	0	51	0	58	189	472	81	467	0	1918	58	2306	68	61	89	0	61	119	140	110	45	73	202	0	225	22	1834	55	166	0	188	288	219	223	192	107	2592	174	268	26	65	632	63	81	32	0	311	25	110	51	0	27	260	349	35	684	208	2696	37	40	41	51	138	171	117	190	656	211	309	43	39	316	0	0	28	38	0	348	3107	39	41
Corynebacterium matruchotii	106	0	10	11	0	37	0	10	323	0	467	17	10	0	65	56	0	0	66	14	146	0	21	0	0	19755	528	0	19	0	0	11	56	42	86	29	94	17	26	266	14	0	348	18	112	0	0	69	24	14	26	0	20	30	26	13	518	100	132	0	0	24	0	49	25	99	0	488	19	20	1170	18	75	24	0	0	62	0	122	998	71	26
Corynebacterium pseudogenitalium	130	0	33	0	0	126	194	0	0	0	674	0	987	36	0	0	0	0	56	43	50	22	44	71	0	108	0	773	21	71	0	125	46	144	59	118	0	870	126	132	0	18	237	36	0	20	0	263	0	0	28	0	0	96	182	0	68	65	981	0	39	25	32	64	89	14	0	289	76	212	0	48	113	0	0	0	41	0	66	1295	0	0
Corynebacterium aurimucosum	214	0	159	0	0	316	5985	141	1454	0	3029	20	20401	501	118	117	0	0	93	65	118	90	88	1627	0	138	0	15903	436	168	0	386	430	163	1461	77	0	24211	829	313	0	197	6778	216	111	301	0	3609	0	0	91	53	31	1211	159	0	2721	395	23205	176	70	88	420	252	78	142	111	234	1442	3293	0	0	937	22	0	0	59	0	653	4011	103	153
Corynebacterium propinquum	81	0	0	0	0	1215	15	0	126	0	163	779	17	0	54	0	0	0	19	63	13	0	34	0	0	90	82	18	10	0	0	0	102	45	39	0	52	11	0	363	0	10	13	15	167	0	0	112	0	20	11	0	0	0	0	0	237	22	81	21	0	10	0	328	0	48	54	540	0	0	43	13	22	22	0	10	0	0	113	516	25	51
Corynebacterium kroppenstedtii	73	0	0	0	0	11	20	11	1370	0	1830	118	129	0	11	177	0	0	61	10	20	31	26	0	0	38	0	0	49	0	0	4792	13	367	242	0	43	69	387	31	0	0	151	38	21	0	31784	82	15	10	0	16	0	42	79	16	1947	24	534	0	0	105	33	25	14	181	0	77	55	0	36	13	33	12	0	0	27	3337	51	41	122	26
Corynebacterium neomassiliense	147	0	86	0	0	73	300	0	74	0	269	31	0	0	95	0	0	0	956	117	387	27	0	0	56	49	0	0	0	41	0	0	174	108	0	178	127	111	0	214	0	0	159	0	98	0	0	150	0	117	75	83	0	0	115	79	316	29	59	0	0	0	0	59	0	0	140	149	0	55	36	0	261	40	0	0	162	0	281	438	117	0
Corynebacterium otitidis	43	0	0	0	0	26	0	0	99	0	140	0	0	0	31	11	0	0	245	0	65	0	0	0	0	0	0	0	0	26	0	11	42	37	14	86	28	0	0	10	0	0	18	0	10	0	0	38	0	0	54	0	0	336	10	21	106	15	43	0	0	10	0	29	0	13	0	46	0	10	55	0	70	0	0	11	107	0	54	81	45	0
Corynebacterium accolens	98	0	489	0	0	358	127	0	0	0	0	0	190	0	0	0	0	0	44	112	39	0	139	69	0	119	0	92	0	41	0	64	50	0	0	0	346	105	0	124	0	0	116	0	0	60	0	0	0	0	0	0	0	84	238	0	327	820	189	0	0	0	0	992	0	0	145	901	0	39	14	0	132	0	0	0	45	0	346	965	0	85
Corynebacterium durum	25	0	0	0	0	11	12	0	523	0	672	0	19	0	38	55	0	0	30	34	97	0	18	0	0	55565	60	0	12	12	0	42	0	17	81	0	19	0	61	27	51	0	140	0	0	0	0	27	0	0	10	0	0	19	14	0	617	50	243	0	0	35	0	12	28	68	0	93	28	0	33	0	22	0	0	0	0	0	78	1113	53	25
Corynebacterium deserti	21	0	0	0	0	0	0	0	341	0	438	0	13	0	0	33	0	0	54	0	11	0	0	0	0	0	0	0	20	0	0	0	0	0	51	0	0	19	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	508	21	133	0	0	16	0	20	0	63	0	20	20	0	13	0	0	0	0	0	18	0	24	28	49	0
Corynebacterium ihumii	20	0	0	648	0	30	0	0	52	0	222	22	0	0	36	0	0	0	54	93	22	0	19	14	0	15	0	14	10	50	0	0	48	0	0	0	29	0	0	34	0	0	0	21	0	0	0	22	0	12	0	0	0	10	215	19	87	27	36	0	0	0	0	59	87	0	16	139	0	0	0	0	82	0	0	0	13	0	69	279	13	17
Corynebacterium jeikeium	27	0	32	0	0	85	45	0	1570	0	2251	112	169	0	65	198	0	0	90	38	52	0	19	0	0	139	0	206	42	0	0	0	50	63	194	41	72	80	48	90	0	0	45	89	88	0	0	44	0	0	0	0	0	0	69	0	2213	145	596	0	0	81	0	32	32	108	0	92	57	39	36	0	57	0	0	18	67	0	61	114	108	0
Corynebacterium ureicelerivorans	16	0	22	0	0	0	0	0	78	0	75	0	0	0	0	0	0	0	0	0	20	0	12	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	76	0	28	0	0	0	14	15	0	0	0	23	0	0	0	24	15	0	0	0	54	0	11	64	0	0
Corynebacterium godavarianum	18	0	0	0	0	21	0	0	0	0	93	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	181	0	0
Corynebacterium cystitidis	12	0	0	0	0	0	0	0	103	0	122	0	10	0	0	14	0	0	29	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	51	0	0	0	0	0	0	0	0	18	0	0	16	0	0	0	0	0	10	0	0	0	16	0
Corynebacterium humireducens	12	0	0	0	0	0	0	0	151	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	226	13	53	0	0	11	0	0	0	27	0	19	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Corynebacterium rouxii	11	0	0	0	0	0	0	0	70	0	108	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	16	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0	0	0	0	0	0	0	187	0	56	0	0	0	0	0	0	15	0	0	11	0	0	0	0	0	0	0	14	0	0	19	10	0
Corynebacterium vitaeruminis	13	0	0	0	0	53	19	0	268	0	174	26	0	0	0	0	0	0	54	0	15	19	0	0	0	21	0	0	0	0	0	0	32	20	94	0	21	180	33	17	0	0	0	16	0	0	0	36	0	0	14	0	0	0	21	0	180	36	35	0	0	0	0	28	0	34	38	244	0	0	26	0	0	0	0	0	27	0	49	40	44	0
Corynebacterium minutissimum	12	0	53	0	0	13	0	0	235	0	359	0	95	0	0	14	0	0	0	0	0	0	0	161	0	0	0	102	0	0	0	0	21	0	22	0	0	33	33	0	0	0	19	0	0	0	0	20	0	0	0	0	0	0	15	0	278	0	180	0	0	16	0	0	0	15	0	15	25	23	15	0	0	0	0	0	0	0	34	50	19	0
Rhodococcus sp. KRD175	273	0	0	0	0	235	0	0	0	0	191	50	0	0	112	0	0	0	385	0	304	0	0	0	0	0	0	0	0	0	0	0	338	0	0	249	104	0	0	170	0	0	0	0	0	0	0	300	0	0	0	0	0	0	164	134	47	0	0	0	0	0	0	135	0	0	0	147	0	0	99	0	296	0	0	0	208	0	285	404	222	0
Rhodococcus sp. 06-235-1A	17	0	0	0	0	0	0	0	0	0	18	0	0	0	0	24	0	0	16	0	12	0	0	0	0	0	79	0	0	0	0	0	26	0	25	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	12	0	0
Rhodococcus sp. PML026	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0
Rhodococcus erythropolis	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	64	0	0	0	0	120	0	0	0	0	0	0	85	0	0	32	55	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	64	0	0	0	61	0	0	0	0	34	0	0	0	27	0	0	73	38	0
Rhodococcus rhodochrous	55	0	35	0	0	62	39	0	62	0	128	28	0	0	49	0	0	0	654	62	209	0	14	0	0	27	0	0	0	0	0	0	109	100	0	92	57	0	0	34	0	0	78	19	0	0	0	87	0	145	83	0	0	0	36	40	146	0	30	0	0	0	0	63	0	22	0	111	0	32	129	0	86	73	0	0	316	0	107	146	69	0
Rhodococcus fascians	42	0	0	0	0	50	0	0	197	0	274	220	0	0	0	13	0	0	118	0	472	0	0	0	0	0	346	0	0	0	0	0	95	125	25	51	25	0	44	77	0	0	0	79	0	0	0	94	0	0	0	0	0	0	33	42	247	0	81	0	0	0	0	41	0	0	0	118	0	109	33	0	39	138	0	0	124	0	71	121	0	0
Nocardia cyriacigeorgica	38	0	39	0	0	44	31	0	365	0	550	99	0	20	41	51	0	0	396	24	141	0	35	13	0	54	0	0	0	0	0	0	41	32	72	58	52	0	25	21	60	0	26	31	19	22	0	121	12	0	25	35	48	16	25	50	618	64	158	0	19	52	0	39	27	63	16	74	42	13	117	0	83	0	0	13	178	0	72	102	63	21
Nocardia sp. NEAU-G5	17	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	61	0	39	0	0	0	0	0	0	0	0	0	0	0	25	23	0	15	0	0	0	0	0	0	0	11	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	14	0	0	0	16	0	18	44	24	0
Nocardia puris	28	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	54	0	49	0	0	0	0	0	0	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	19	0	0	0	33	0	21	39	17	0
Nocardia farcinica	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	46	0	0	0	0	0	0	0	0	0	0	0	20	0	0	14	15	0	0	0	0	0	0	0	0	0	0	34	0	24	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	30	0	0	0	40	0	20	65	0	0
Gordonia polyisoprenivorans	178	0	1058	18	0	68	17	0	155	0	365	435	37	25	42	26	0	0	550	61	2639	0	55	0	0	25	23	0	0	0	0	49	730	218	27	95	196	0	0	107	28	0	546	76	119	14	0	181	102	240	63	0	16	36	128	63	406	44	107	0	21	26	0	68	0	29	33	103	0	412	15	28	232	89	0	22	167	16	142	517	131	90
Gordonia otitidis	31	0	0	0	0	28	0	0	0	0	0	11	0	0	16	0	0	0	76	111	114	0	0	0	0	0	18	0	0	0	0	0	30	24	0	38	23	0	0	0	0	0	33	0	15	0	0	34	0	13	0	0	0	0	23	0	11	24	0	0	0	0	0	14	0	0	14	19	0	30	11	0	10	28	0	0	21	0	24	65	16	0
Gordonia mangrovi	10	0	0	0	0	0	0	0	14	0	20	0	0	0	0	0	0	0	36	0	28	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	14	0	0	0	18	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	12	0	0	26	0	0
Dietzia sp. KRD202	68	0	71	0	0	79	30	0	400	0	411	72	0	0	73	0	0	0	182	108	239	14	0	0	0	22	36	0	0	0	0	0	134	61	0	127	53	18	0	30	16	0	47	0	24	0	0	64	21	26	19	12	0	26	158	46	385	20	197	0	0	45	0	70	27	0	60	92	0	47	43	0	141	36	0	0	69	0	137	243	120	22
Dietzia massiliensis	59	0	0	0	0	16	0	0	0	0	330	45	0	12	0	0	0	0	12	31	24	19	31	29	0	0	0	0	0	0	0	0	0	0	0	0	79	0	21	0	28	0	0	0	0	25	0	92	32	0	0	14	81	0	0	0	77	43	42	0	30	0	0	0	37	81	0	0	25	18	0	0	53	0	0	0	12	0	16	0	0	0
Dietzia cinnamea	20	0	0	0	0	29	0	0	202	0	261	0	0	0	25	70	0	0	261	244	132	0	0	0	0	0	0	0	0	0	0	0	71	49	101	50	163	0	0	17	0	0	21	0	24	0	0	39	14	0	17	0	0	0	91	14	272	0	119	0	0	0	0	40	0	0	0	91	0	0	65	0	96	27	0	0	132	0	69	92	59	0
Dietzia maris	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	61	0	0	0	0	0	21	0	29	0	0	0	0	0	32	0	0	0	0	0	0	38	0	0
Lawsonella clevelandensis	78	0	0	0	0	111	15	200	78605	0	102479	259	1585	0	356	9518	0	33	62	24	131	286	18	0	0	82	0	125	3420	325	0	0	65	14	13811	138	61	24	1633	12	0	0	0	1433	64	30	0	23	0	0	21	0	0	39	25	12	116198	1896	31086	0	171	5204	555	218	10	11519	26	374	4096	0	126	0	38	48	0	13	45	0	980	71	6536	290
Streptomyces sp. NRRL S-15	2516	112	1369	149	226	1949	853	0	428	0	2295	1088	124	146	1908	0	94	0	14709	812	7923	912	422	38	287	730	305	129	0	216	0	420	3411	2466	0	5172	1924	697	386	1030	601	0	1411	459	950	344	0	2840	565	665	1335	737	379	743	1839	1757	2141	610	714	100	137	528	0	2065	147	108	529	4201	0	831	2834	238	4288	1044	91	134	5978	186	5013	7042	3409	621
Streptomyces sp. NRRL WC-3549	2361	105	1163	117	200	1595	758	0	374	0	2103	1022	116	101	1595	0	33	0	12574	649	6908	929	330	31	185	601	175	88	0	125	0	350	2994	2014	0	4206	1714	695	264	915	404	0	1260	145	876	273	0	2363	503	549	1085	644	342	449	1610	1516	1920	453	672	81	78	457	17	1685	116	35	483	3433	0	842	2478	141	3622	1024	64	29	5457	130	4739	6257	3004	399
Streptomyces sp. NRRL S-481	671	44	380	56	71	671	338	0	175	0	640	361	38	56	426	0	0	0	5436	253	2776	208	89	0	73	274	116	69	0	80	0	151	1071	761	0	1245	486	261	140	395	192	0	438	305	351	115	0	600	214	218	396	253	134	227	500	448	555	212	281	51	30	191	0	567	56	65	189	1373	0	281	991	47	1461	379	44	110	2113	68	1486	1857	943	272
Streptomyces sp. ICC4	561	0	121	0	0	0	84	0	0	0	712	63	0	0	356	0	0	0	193	111	68	0	134	0	0	0	0	0	0	0	0	0	0	33	0	29	497	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	47	0	0	52	65	48	0	0	0	100	0	55	1895	39	0
Streptomyces sp. Z38	180	0	127	0	12	146	55	0	32	0	193	124	11	0	106	0	0	0	554	57	634	74	15	0	24	73	0	0	0	0	0	29	282	178	0	309	147	68	24	87	38	0	116	0	101	23	0	196	45	66	88	40	20	42	139	115	138	44	50	0	0	28	0	124	0	0	38	293	0	98	130	0	323	82	0	0	287	24	472	540	247	42
Streptomyces sp. CMB-FB	166	0	96	0	0	117	47	0	22	0	118	67	0	0	153	0	0	0	2903	68	515	85	34	0	13	41	10	0	0	0	0	27	185	177	0	309	105	43	20	71	33	0	89	26	89	12	0	159	34	51	105	33	0	39	130	124	107	27	40	0	0	33	0	122	0	0	32	258	0	72	541	12	253	83	0	0	1173	0	308	408	226	32
Streptomyces sp. ST5x	159	0	83	10	21	161	88	0	41	0	208	91	14	22	124	0	0	0	747	81	596	67	12	0	26	63	13	12	0	15	0	26	310	117	0	332	110	71	17	92	43	0	95	24	73	24	0	222	54	56	82	66	33	52	109	127	147	30	75	0	10	40	0	131	11	0	54	345	0	64	129	0	348	61	0	0	315	14	437	541	274	34
Streptomyces sp. SBT349	69	0	47	0	0	64	38	0	15	0	48	23	0	0	34	0	0	0	169	19	299	56	16	0	12	38	0	0	0	0	0	0	100	62	0	79	53	25	0	36	0	0	68	17	25	0	0	62	15	24	49	34	12	17	44	38	44	12	30	0	0	19	0	38	0	0	25	113	0	30	37	0	130	44	0	0	66	0	159	240	74	18
Streptomyces sp. NRRL WC-3774	523	0	262	0	0	421	264	0	224	0	506	463	116	0	309	0	0	0	2477	239	2236	0	0	0	0	304	0	0	0	0	0	107	997	799	0	685	512	152	0	464	0	0	224	0	202	0	0	602	101	185	282	343	0	0	146	377	650	0	191	0	0	231	0	475	0	0	0	749	0	253	513	0	942	206	0	0	1088	0	971	1937	661	0
Streptomyces sp. B15	55	19	13	0	11	27	0	0	0	0	280	16	19	14	21	10	11	0	23	10	20	0	122	40	0	85	0	0	0	0	0	0	0	0	0	14	36	12	16	18	68	0	22	47	0	28	0	85	14	10	0	21	280	0	12	0	34	72	0	0	41	28	0	34	98	15	29	16	55	11	16	0	70	0	0	31	22	0	14	35	0	0
Streptomyces sp. ATCC 21386	40	0	13	0	0	23	11	0	0	0	35	25	0	0	15	0	0	0	228	0	110	12	0	0	0	0	0	0	0	0	0	0	37	16	0	120	17	12	13	13	0	0	11	0	13	0	0	127	0	0	13	15	0	0	48	20	22	0	11	0	0	0	0	44	0	0	0	113	0	0	73	0	52	16	0	0	102	0	83	107	59	0
Streptomyces sp. H28	28	0	21	0	0	18	0	0	0	0	24	20	0	0	21	0	0	0	145	0	77	14	0	0	0	0	0	0	0	0	0	0	39	17	0	63	17	0	0	18	0	0	24	0	12	0	0	41	0	0	24	0	0	0	23	26	25	0	0	0	0	0	0	32	0	0	0	38	0	21	31	0	31	17	0	0	74	0	42	61	40	0
Streptomyces sp. AcH 505	18	0	30	12	0	44	0	0	0	0	26	20	0	0	12	0	0	0	223	0	84	0	0	0	0	16	0	0	0	0	0	0	30	30	0	34	26	0	0	0	21	0	0	17	12	0	0	150	0	0	0	0	0	0	18	12	21	14	0	0	0	0	0	64	0	0	20	98	0	0	27	0	71	10	0	0	94	0	30	97	59	0
Streptomyces sp. ICC1	18	0	32	0	0	0	0	0	0	0	32	49	0	0	18	0	0	0	2006	0	202	65	15	0	0	0	0	0	0	0	0	0	98	191	0	102	15	0	0	0	0	0	80	0	33	0	0	96	0	0	34	0	0	0	0	105	0	0	0	0	0	0	0	53	0	0	0	111	0	97	402	0	81	0	0	0	820	0	91	83	106	0
Streptomyces sp. ISL-112	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. ISL-98	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	21	0	0	0	0	0	0	17	0	0
Streptomyces sp. cf386	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	17	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	20	13	0	0
Streptomyces sp. L-9-10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	21	0	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	18	0	0	16	0	0
